grid,min_ndvi,max_ndvi,range_ndvi,mean_ndvi,std_ndvi
26,-0.306358367,-0.04587156,0.260486808,-0.188757959,0.053019281
27,-0.253012061,-0.011494253,0.241517808,-0.130502777,0.059836746
28,-0.166666672,-0.015873017,0.150793655,-0.083896861,0.033308297
16,-0.097087376,-0.017241379,0.079845997,-0.059431944,0.017198195
19,-0.081818178,0,0.081818178,-0.052213633,0.016573238
17,-0.13333334,0.109004736,0.242338076,-0.041133236,0.043563099
21,-0.062761508,0.004405286,0.067166794,-0.034635931,0.015789605
25,-0.058295965,0.035019454,0.093315419,-0.003308066,0.018853822
22,-0.011673152,0.044982698,0.056655849,0.009973009,0.012928506
2,-0.067307696,0.113207549,0.180515245,0.01128362,0.03634679
1,-0.069124423,0.090090089,0.159214512,0.022088367,0.042152359
5,0.003861004,0.077551022,0.073690018,0.033941542,0.017872574
11,-0.060240965,0.089285716,0.149526682,0.047987475,0.024681089
9,0.005586592,0.138121545,0.132534953,0.067379293,0.035705654
6,0.015873017,0.141361251,0.125488235,0.073969414,0.03417823
14,0.055319149,0.144067794,0.088748645,0.09306802,0.019500255
8,0.021052632,0.149321273,0.12826864,0.096917178,0.029234362
15,0.073359072,0.136186764,0.062827691,0.10486371,0.015117356
